<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Tameshk ETF,20240623, 15450.00, 15600.00, 15370.00, 15500.00,15716977850.00, 1014179,123,D,15460.00,15590.00
Tameshk ETF,20240622, 15530.00, 15570.00, 15410.00, 15460.00,16703709360.00, 1080769,187,D,15530.00,15470.00
Tameshk ETF,20240619, 15390.00, 15590.00, 15390.00, 15530.00,18804422670.00, 1210880,131,D,15350.00,15520.00
Tameshk ETF,20240618, 15380.00, 15470.00, 15250.00, 15350.00,9053541340.00, 589707,87,D,15380.00,15370.00
Tameshk ETF,20240616, 15400.00, 15430.00, 15260.00, 15380.00,16524021520.00, 1074567,110,D,15410.00,15360.00
Tameshk ETF,20240615, 15520.00, 15520.00, 15260.00, 15410.00,29612362440.00, 1921359,129,D,15520.00,15410.00
Tameshk ETF,20240612, 15640.00, 15640.00, 15480.00, 15520.00,9706094260.00, 625558,92,D,15580.00,15500.00
Tameshk ETF,20240611, 15700.00, 15700.00, 15530.00, 15580.00,20804465560.00, 1335640,115,D,15690.00,15530.00
Tameshk ETF,20240610, 15480.00, 15770.00, 15480.00, 15690.00,25151360680.00, 1602594,209,D,15480.00,15670.00
Tameshk ETF,20240609, 15430.00, 15610.00, 15250.00, 15480.00,29306480140.00, 1893483,165,D,15470.00,15440.00
Tameshk ETF,20240608, 15650.00, 15650.00, 15340.00, 15470.00,52657722540.00, 3403872,232,D,15650.00,15400.00
Tameshk ETF,20240605, 15680.00, 15720.00, 15560.00, 15650.00,67882451310.00, 4337210,235,D,15460.00,15590.00
Tameshk ETF,20240602, 15500.00, 15730.00, 15270.00, 15460.00,53380051200.00, 3453659,230,D,15630.00,15660.00
Tameshk ETF,20240601, 15930.00, 15930.00, 15480.00, 15630.00,154008185420.00, 9853917,509,D,15940.00,15480.00
Tameshk ETF,20240529, 15840.00, 16100.00, 15800.00, 15940.00,214933938060.00, 13486816,960,D,15800.00,15840.00
Tameshk ETF,20240528, 15580.00, 15860.00, 15570.00, 15800.00,246529570070.00, 15603416,473,D,15250.00,15860.00
Tameshk ETF,20240527, 15300.00, 15560.00, 15150.00, 15250.00,25616623680.00, 1680139,244,D,15300.00,15550.00
Tameshk ETF,20240526, 15800.00, 15800.00, 15190.00, 15300.00,69334783380.00, 4531939,359,D,15800.00,15280.00
Tameshk ETF,20240525, 15900.00, 15920.00, 15550.00, 15800.00,45025847400.00, 2849475,416,D,15810.00,15630.00
Tameshk ETF,20240521, 16330.00, 16340.00, 15770.00, 15810.00,169334073240.00, 10710092,280,D,15780.00,15970.00
Tameshk ETF,20240520, 0.00, 0.00, 0.00, 15780.00,0.00, 0,0,D,15780.00,15920.00
Tameshk ETF,20240519, 16040.00, 16040.00, 15670.00, 15780.00,73076288850.00, 4629908,400,D,16210.00,15920.00
Tameshk ETF,20240518, 16310.00, 16370.00, 16040.00, 16210.00,116754424010.00, 7203385,327,D,16260.00,16040.00
Tameshk ETF,20240515, 16180.00, 16370.00, 16120.00, 16260.00,17005544680.00, 1045726,313,D,16180.00,16300.00
Tameshk ETF,20240514, 16200.00, 16350.00, 16120.00, 16180.00,131877487050.00, 8149901,268,D,16260.00,16160.00
Tameshk ETF,20240513, 16180.00, 16400.00, 16120.00, 16260.00,56519601930.00, 3475609,434,D,16450.00,16240.00
Tameshk ETF,20240512, 16560.00, 16590.00, 16330.00, 16450.00,31287326750.00, 1901897,377,D,16560.00,16350.00
Tameshk ETF,20240511, 16670.00, 16680.00, 16490.00, 16560.00,23651285140.00, 1428203,321,D,16660.00,16500.00
Tameshk ETF,20240508, 16790.00, 16790.00, 16580.00, 16660.00,20963153450.00, 1258590,290,D,16790.00,16650.00
Tameshk ETF,20240507, 16790.00, 16880.00, 16720.00, 16790.00,26471933850.00, 1577102,263,D,16770.00,16740.00
Tameshk ETF,20240506, 16900.00, 16900.00, 16710.00, 16770.00,56852375010.00, 3389463,367,D,16930.00,16850.00
Tameshk ETF,20240505, 16840.00, 17090.00, 16820.00, 16930.00,18160532180.00, 1072507,267,D,16980.00,16840.00
Tameshk ETF,20240501, 17020.00, 17050.00, 16860.00, 16980.00,27768154960.00, 1635661,267,D,17020.00,17050.00
Tameshk ETF,20240430, 16950.00, 17100.00, 16920.00, 17020.00,50762432740.00, 2982147,408,D,16990.00,17000.00
Tameshk ETF,20240429, 16990.00, 17060.00, 16940.00, 16990.00,31229214630.00, 1838198,310,D,16830.00,17010.00
Tameshk ETF,20240428, 16970.00, 16980.00, 16750.00, 16830.00,114184285370.00, 6782709,493,D,17070.00,16970.00
Tameshk ETF,20240427, 17290.00, 17330.00, 16900.00, 17070.00,68889234770.00, 4036024,595,D,17170.00,16990.00
Tameshk ETF,20240424, 17190.00, 17260.00, 17150.00, 17170.00,120744852140.00, 7030352,523,D,17230.00,17230.00
Tameshk ETF,20240423, 17260.00, 17290.00, 17190.00, 17230.00,80765883400.00, 4688564,507,D,17330.00,17200.00
Tameshk ETF,20240422, 17190.00, 17400.00, 17190.00, 17330.00,72883864270.00, 4205024,495,D,17250.00,17330.00
Tameshk ETF,20240421, 17360.00, 17480.00, 17150.00, 17250.00,163910036910.00, 9500832,1214,D,17440.00,17210.00
Tameshk ETF,20240420, 17050.00, 17550.00, 17050.00, 17440.00,232869129270.00, 13356279,1460,D,16930.00,17500.00
Tameshk ETF,20240417, 16890.00, 17030.00, 16850.00, 16930.00,110626801830.00, 6532705,541,D,16770.00,17010.00
Tameshk ETF,20240416, 16780.00, 16940.00, 16630.00, 16770.00,87179966390.00, 5199993,759,D,16950.00,16760.00
Tameshk ETF,20240415, 16760.00, 17070.00, 16760.00, 16950.00,226431293000.00, 13355534,1151,D,16760.00,16950.00
Tameshk ETF,20240414, 16810.00, 16980.00, 16680.00, 16760.00,201866144860.00, 12047382,960,D,17020.00,16750.00
Tameshk ETF,20240413, 16800.00, 17150.00, 16800.00, 17020.00,193291562270.00, 11359879,1001,D,16950.00,17040.00
Tameshk ETF,20240409, 16940.00, 17140.00, 16700.00, 16950.00,161777174480.00, 9543016,738,D,16780.00,17120.00
Tameshk ETF,20240408, 17070.00, 17120.00, 16700.00, 16780.00,96121505330.00, 5728029,863,D,16970.00,16750.00
Tameshk ETF,20240407, 17170.00, 17260.00, 16850.00, 16970.00,148883175530.00, 8774398,975,D,17270.00,16880.00
Tameshk ETF,20240406, 17370.00, 17770.00, 16920.00, 17270.00,173334299360.00, 10039297,1451,D,17140.00,16950.00
Tameshk ETF,20240403, 17060.00, 17260.00, 17010.00, 17140.00,86251206150.00, 5033135,811,D,16830.00,17220.00
Tameshk ETF,20240402, 16440.00, 17050.00, 16210.00, 16830.00,400044575670.00, 23765675,1262,D,16710.00,17040.00
Tameshk ETF,20240330, 16700.00, 16870.00, 16600.00, 16710.00,52733697700.00, 3155557,425,D,16540.00,16820.00
Tameshk ETF,20240327, 16450.00, 16750.00, 16420.00, 16540.00,21727983940.00, 1313394,247,D,16450.00,16580.00
Tameshk ETF,20240326, 16500.00, 16550.00, 16370.00, 16450.00,30432036090.00, 1850318,388,D,16650.00,16450.00
Tameshk ETF,20240325, 16900.00, 16900.00, 16490.00, 16650.00,94029387380.00, 5645730,685,D,16630.00,16540.00
Tameshk ETF,20240324, 16320.00, 16820.00, 16320.00, 16630.00,269110715850.00, 16184219,1025,D,16240.00,16820.00
Tameshk ETF,20240318, 15900.00, 16300.00, 15820.00, 16240.00,202993962440.00, 12502099,430,D,15710.00,16300.00
Tameshk ETF,20240317, 15300.00, 15800.00, 15300.00, 15710.00,28707240840.00, 1827137,316,D,15460.00,15800.00
Tameshk ETF,20240316, 15420.00, 15580.00, 15370.00, 15460.00,33903994770.00, 2192513,302,D,15480.00,15520.00
Tameshk ETF,20240313, 15530.00, 15590.00, 15390.00, 15480.00,10046097790.00, 648799,234,D,15570.00,15470.00
Tameshk ETF,20240312, 15530.00, 15700.00, 15520.00, 15570.00,15926228010.00, 1022917,274,D,15610.00,15550.00
Tameshk ETF,20240311, 15550.00, 15670.00, 15520.00, 15610.00,21792323320.00, 1395651,343,D,15680.00,15650.00
Tameshk ETF,20240310, 15620.00, 15800.00, 15530.00, 15680.00,45477304450.00, 2900560,341,D,15750.00,15630.00
Tameshk ETF,20240309, 15740.00, 15810.00, 15700.00, 15750.00,49717852280.00, 3156240,360,D,15640.00,15750.00
Tameshk ETF,20240306, 15530.00, 15760.00, 15530.00, 15640.00,85510244530.00, 5466569,422,D,15590.00,15680.00
Tameshk ETF,20240305, 15390.00, 15680.00, 15380.00, 15590.00,122548352180.00, 7863063,552,D,15370.00,15680.00
Tameshk ETF,20240304, 15310.00, 15480.00, 15310.00, 15370.00,64458875430.00, 4192861,451,D,15510.00,15370.00
Tameshk ETF,20240303, 15470.00, 15700.00, 15340.00, 15510.00,252408474260.00, 16273208,1211,D,15380.00,15400.00
Tameshk ETF,20240302, 15020.00, 15520.00, 15010.00, 15380.00,131060751300.00, 8523553,876,D,15060.00,15490.00
Tameshk ETF,20240228, 15010.00, 15110.00, 14990.00, 15060.00,14468681250.00, 960517,236,D,14960.00,15020.00
Tameshk ETF,20240227, 15090.00, 15090.00, 14910.00, 14960.00,13825124900.00, 923964,260,D,14970.00,15020.00
Tameshk ETF,20240226, 15040.00, 15130.00, 14860.00, 14970.00,180011585110.00, 12024084,348,D,15180.00,14970.00
Tameshk ETF,20240224, 15040.00, 15190.00, 15040.00, 15180.00,146335357400.00, 9640788,350,D,15100.00,15090.00
Tameshk ETF,20240221, 15070.00, 15130.00, 15070.00, 15100.00,12729243980.00, 842833,204,D,15130.00,15120.00
Tameshk ETF,20240220, 15170.00, 15180.00, 15050.00, 15130.00,27144203110.00, 1793628,235,D,15160.00,15120.00
Tameshk ETF,20240219, 15080.00, 15230.00, 15080.00, 15160.00,31705546990.00, 2091712,321,D,15070.00,15170.00
Tameshk ETF,20240218, 14920.00, 15140.00, 14920.00, 15070.00,20587797210.00, 1366176,274,D,14910.00,15140.00
Tameshk ETF,20240217, 15010.00, 15090.00, 14860.00, 14910.00,52568366720.00, 3525412,475,D,15140.00,14990.00
Tameshk ETF,20240214, 15050.00, 15150.00, 15010.00, 15140.00,129323091420.00, 8541973,351,D,15080.00,15110.00
Tameshk ETF,20240213, 15030.00, 15170.00, 15030.00, 15080.00,28003281460.00, 1856756,309,D,15090.00,15070.00
Tameshk ETF,20240212, 15100.00, 15160.00, 15010.00, 15090.00,19842309430.00, 1315095,411,D,15110.00,15120.00
Tameshk ETF,20240210, 15070.00, 15170.00, 15060.00, 15110.00,23499169210.00, 1554749,447,D,15130.00,15130.00
Tameshk ETF,20240207, 15200.00, 15200.00, 15010.00, 15130.00,20420868690.00, 1350134,3184,D,15060.00,15190.00
Tameshk ETF,20240206, 15130.00, 15130.00, 15000.00, 15060.00,9397223190.00, 624190,154,D,15060.00,15070.00
Tameshk ETF,20240205, 15020.00, 15120.00, 15020.00, 15060.00,17869174610.00, 1186676,242,D,15070.00,15070.00
Tameshk ETF,20240204, 15190.00, 15200.00, 15030.00, 15070.00,14064007880.00, 933121,309,D,15290.00,15060.00
Tameshk ETF,20240203, 15160.00, 15400.00, 15150.00, 15290.00,105836177470.00, 6922405,534,D,15290.00,15160.00
Tameshk ETF,20240131, 15160.00, 15370.00, 15150.00, 15290.00,14938678930.00, 977316,302,D,15390.00,15290.00
Tameshk ETF,20240130, 15450.00, 15500.00, 15270.00, 15390.00,102359139640.00, 6649041,690,D,15350.00,15290.00
Tameshk ETF,20240129, 15310.00, 15450.00, 15230.00, 15350.00,63201167120.00, 4117213,517,D,15420.00,15440.00
Tameshk ETF,20240128, 15500.00, 15500.00, 15260.00, 15420.00,89547300200.00, 5808243,603,D,15390.00,15400.00
Tameshk ETF,20240127, 15400.00, 15480.00, 15320.00, 15390.00,75809683420.00, 4924940,459,D,15300.00,15470.00
Tameshk ETF,20240124, 15250.00, 15400.00, 15240.00, 15300.00,39265392760.00, 2565656,428,D,15120.00,15400.00
Tameshk ETF,20240123, 15250.00, 15280.00, 15030.00, 15120.00,49552697410.00, 3277004,398,D,15220.00,15250.00
Tameshk ETF,20240122, 15320.00, 15350.00, 15020.00, 15220.00,18240596190.00, 1198746,299,D,15230.00,15250.00
Tameshk ETF,20240121, 15270.00, 15340.00, 15160.00, 15230.00,14571592800.00, 956488,304,D,15250.00,15320.00
Tameshk ETF,20240120, 15470.00, 15470.00, 15120.00, 15250.00,38284762290.00, 2509974,442,D,15430.00,15200.00
Tameshk ETF,20240117, 15470.00, 15470.00, 15310.00, 15430.00,30394416280.00, 1969536,319,D,15310.00,15470.00
Tameshk ETF,20240116, 15450.00, 15450.00, 15200.00, 15310.00,91068268790.00, 5950021,421,D,15440.00,15390.00
Tameshk ETF,20240115, 15600.00, 15600.00, 15320.00, 15440.00,118921187820.00, 7704124,330,D,15580.00,15450.00
Tameshk ETF,20240114, 15390.00, 15700.00, 15390.00, 15580.00,71129349170.00, 4566424,718,D,15300.00,15600.00
Tameshk ETF,20240113, 15240.00, 15390.00, 15020.00, 15300.00,68483138990.00, 4475575,557,D,15230.00,15380.00
Tameshk ETF,20240110, 15040.00, 15330.00, 15040.00, 15230.00,31272211410.00, 2053893,421,D,15090.00,15330.00
Tameshk ETF,20240109, 14950.00, 15120.00, 14930.00, 15090.00,32585663560.00, 2160129,269,D,14970.00,15110.00
Tameshk ETF,20240108, 15020.00, 15020.00, 14790.00, 14970.00,10824193150.00, 722997,224,D,14940.00,15010.00
Tameshk ETF,20240107, 14970.00, 15030.00, 14900.00, 14940.00,7819839270.00, 523581,156,D,14900.00,14960.00
Tameshk ETF,20240106, 14860.00, 14970.00, 14840.00, 14900.00,13763251580.00, 923723,214,D,14910.00,14950.00
Tameshk ETF,20240103, 14940.00, 14960.00, 14820.00, 14910.00,23316830090.00, 1563682,152,D,14810.00,14900.00
Tameshk ETF,20240102, 14870.00, 14870.00, 14760.00, 14810.00,15942140280.00, 1076158,163,D,14850.00,14830.00
Tameshk ETF,20240101, 14790.00, 14940.00, 14790.00, 14850.00,12888457410.00, 868140,192,D,14880.00,14870.00
Tameshk ETF,20231231, 14860.00, 14940.00, 14860.00, 14880.00,20676175520.00, 1389250,181,D,14920.00,14910.00
Tameshk ETF,20231230, 14840.00, 15000.00, 14780.00, 14920.00,38567686260.00, 2585443,333,D,14890.00,14960.00
Tameshk ETF,20231227, 14830.00, 15010.00, 14820.00, 14890.00,74779241320.00, 5021806,267,D,14830.00,14910.00
Tameshk ETF,20231226, 14830.00, 14870.00, 14820.00, 14830.00,29670474280.00, 2000041,162,D,14900.00,14840.00
Tameshk ETF,20231225, 14950.00, 14960.00, 14830.00, 14900.00,13499008710.00, 905797,181,D,14890.00,14960.00
Tameshk ETF,20231224, 14980.00, 14980.00, 14830.00, 14890.00,62273279920.00, 4183406,191,D,14910.00,14860.00
Tameshk ETF,20231223, 14830.00, 14980.00, 14830.00, 14910.00,23213041360.00, 1556710,226,D,14910.00,14980.00
Tameshk ETF,20231220, 14970.00, 14970.00, 14810.00, 14910.00,49898187240.00, 3345823,215,D,14950.00,14950.00
Tameshk ETF,20231219, 15060.00, 15060.00, 14840.00, 14950.00,49529774860.00, 3312905,346,D,15020.00,14900.00
Tameshk ETF,20231218, 14880.00, 15100.00, 14870.00, 15020.00,85774353320.00, 5711571,440,D,14810.00,15050.00
Tameshk ETF,20231216, 14720.00, 14880.00, 14700.00, 14810.00,34566381820.00, 2333463,309,D,14720.00,14880.00
Tameshk ETF,20231213, 14740.00, 14750.00, 14350.00, 14720.00,234346803710.00, 15920983,172,D,14740.00,14740.00
Tameshk ETF,20231212, 14700.00, 14800.00, 14660.00, 14740.00,41155745790.00, 2792441,169,D,14740.00,14710.00
Tameshk ETF,20231211, 14760.00, 14780.00, 14710.00, 14740.00,27901016480.00, 1893393,231,D,14720.00,14710.00
Tameshk ETF,20231210, 14810.00, 14810.00, 14600.00, 14720.00,10867794240.00, 738542,182,D,14690.00,14740.00
Tameshk ETF,20231209, 14720.00, 14780.00, 14630.00, 14690.00,43015638630.00, 2929074,328,D,14730.00,14680.00
Tameshk ETF,20231206, 14820.00, 14820.00, 14700.00, 14730.00,37875496200.00, 2571157,287,D,14820.00,14740.00
